S.no,course_id,course_title,course_description,Concentration,Pre requisites,price,num_lectures,Level,course_availability,course_duration
28,CPSC 471,Computer Communications,"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques.",Cybersecurity,CPSC 351 - Operating Systems Concepts ,$980.00 ,8,Intermediate,Spring,4 months
29,CPSC 466,Software Process,"Practical guidance for improving the software development process. How to establish, maintain and improve software processes. Exposure to agile processes, ISO 12207 and CMMI.",Software Engineering,CPSC 362 - Foundations of Software Engineering,$980.00 ,5,Intermediate,Spring,4 months
30,CPSC 464,Software Architecture,"Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture.",Software Engineering,CPSC 362 - Foundations of Software Engineering,$980.00 ,5,Beginner,Spring,4 months
31,CPSC 463,Software Testing,"Software testing techniques, reporting problems effectively and planning testing projects. Students apply what they learned throughout the course to a sample application that is either commercially available or under development.",Software Engineering,CPSC 362 - Foundations of Software Engineering,$980.00 ,7,Beginner,Spring,4 months
32,CPSC 462,Software Design,"Concepts of software modeling, software process and some tools. Object-oriented analysis and design and Unified process. Some computer-aided software engineering (CASE) tools will be recommended to use for doing homework assignments.",Software Engineering,CPSC 362 - Foundations of Software Engineering,$980.00 ,7,Beginner,Spring,4 months
33,CPSC 459 ,Blockchain Technologies ,Digital assets as a medium of exchange to secure financial transactions; decentralized and distributed ledgers that record verifiable transactions; smart contracts and Ethereum; Bitcoin mechanics and mining; the cryptocurrency ecosystem; blockchain mechanics and applications.,Cybersecurity,CPSC 353 - Introduction to Computer Security,$980.00 ,6,Beginner,Spring,4 months
34,CPSC 458,Malware Analysis,"Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results.",Cybersecurity,CPSC 351 - Operating Systems Concepts,$980.00 ,4,Intermediate,Spring,4 months
35,CPSC 456,Network Security Fundamentals,"Learn about vulnerabilities of network protocols, attacks targeting confidentiality, integrity and availability of data transmitted across networks, and methods for diagnosing and closing security gaps through hands-on exercises.",Cybersecurity,CPSC 351 - Operating Systems Concepts,$980.00 ,4,Intermediate,Spring,4 months
36,CPSC 455,Web Security,"Concepts of web application security. Web security mechanisms, including authentication, access control and protecting sensitive data. Common vulnerabilities, including code and SQL attacks, cross-site scripting and cross-site request forgery. Implement hands-on web application security mechanisms and security testing.",Cybersecurity,CPSC 351 - Operating Systems Concepts,$980.00 ,4,Intermediate,Spring,4 months
37,CPSC 454,Cloud Computing and Security,"Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection.",Cybersecurity,CPSC 351 - Operating Systems Concepts,$980.00 ,3,Intermediate,Spring,4 months
38,CPSC 452,Cryptography,"Introduction to cryptography and steganography. Encryption, cryptographic hashing, certificates, and signatures. Classical, symmetric-key, and public-key ciphers. Block modes of operation. Cryptanalysis including exhaustive search, man-in-the-middle, and birthday attacks. Programing projects involving implementation of cryptographic systems.",Cybersecurity,CPSC 131 - Data Structures,$980.00 ,6,Intermediate,Spring,4 months
39,CPSC 449,Web Back-End Engineering ,"Design and architecture of large-scale web applications. Techniques for scalability, session management and load balancing. Dependency injection, application tiers, message queues, web services and REST architecture. Caching and eventual consistency. Data models, partitioning and replication in relational and non-relational databases.",Software Development,CPSC 332 - File Structures and Database Systems,$980.00 ,8,Beginner,Spring,4 months
40,CPSC 440,Computer System Architecture,"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems.",Computer Systems,CPSC 240 - Computer Organization and Assembly Language,$980.00 ,6,Beginner,Spring,4 months
41,CPSC 439,Theory of Computation,"Introduction to the theory of computation. Automata theory; finite state machines, context free grammars, and Turing machines; hierarchy of formal language classes. Computability theory and undecidable problems. Time complexity; P and NP-complete problems. Applications to software design and security.",Computer Science (Theory),CPSC 121 - Object-Oriented Programming,$980.00 ,4,Beginner,Spring,4 months
42,CPSC 431,Database and Applications,"Database design and application development techniques for a real world system. System analysis, requirement specifications, conceptual modeling, logic design, physical design and web interface development. Develop projects using contemporary database management system and web-based application development platform.",Software Development,CPSC 332 - File Structures and Database Systems ,$980.00 ,3,Beginner,Spring,4 months
43,CPSC 411,Mobile Device Application Programming,"Introduction to developing applications for mobile devices, including but not limited to runtime environments, development tools and debugging tools used in creating applications for mobile devices. Use emulators in lab. Students must provide their own mobile devices.",Software Development,CPSC 131 - Data Structures,$980.00 ,5,Beginner,Spring,4 months
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
